title,rating,price_gbp
Sapiens: A Brief History of Humankind,5,54.23
Set Me Free,5,17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29
Rip it Up and Start Again,5,35.02
Chase Me (Paris Nights #2),5,25.27
Black Dust,5,34.53
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66
The Elephant Tree,5,23.82
Sophie's World,5,15.94
Private Paris (Private #10),5,47.61
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11
"We Love You, Charlie Freeman",5,50.27
Thirst,5,17.27
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61
Princess Between Worlds (Wide-Awake Princess #5),5,13.34
Join,5,35.67
