title,price_gbp,rating,category_name
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction
A Light in the Attic,51.77,3,Poetry
Aladdin and His Wonderful Lamp,53.13,3,Default
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Default
Behind Closed Doors,52.22,4,Thriller
Birdsong: A Story in Pictures,54.64,3,Childrens
Black Dust,34.53,5,Romance
Chase Me (Paris Nights #2),25.27,5,Romance
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Food and Drink
How Music Works,37.32,2,Music
